"Record ID",Date,Country,City,"Temperature (Â°C)","Humidity (%)","Precipitation (mm)","Air Quality Index (AQI)","Extreme Weather Events","Climate Classification",Climate_Zone,Biome_Type,Heat_Index,Wind_Speed,Wind_Direction,Season,Population_Exposure,Economic_Impact_Estimate,Infrastructure_Vulnerability_Score
aus_125,5/4/2024,Australia,Sydney,12.2,54,13.8,80,Drought,Koeppen-B,Arid,Wetland,14.9,4.5,SE,Spring,541112,79918430.89,8
aus_126,5/5/2024,Australia,Sydney,-6.4,79,46.4,316,None,Koeppen-D,Arid,Tundra,-2.5,9.2,N,Spring,8556262,30011976.76,6
aus_127,5/6/2024,Australia,Sydney,28.5,100,111.5,485,Flood,Koeppen-C,Arid,Wetland,33.5,31.2,NE,Spring,3597546,68108918.94,3
aus_128,5/7/2024,Australia,Sydney,40.5,96,14,242,None,Koeppen-C,Arid,Tundra,45.3,11.8,NE,Spring,258471,55955007.51,5
aus_129,5/8/2024,Australia,Sydney,-8.3,36,103.3,240,None,Koeppen-C,Arid,Desert,-6.5,8.2,N,Spring,1734829,89491570.67,7
aus_130,5/9/2024,Australia,Sydney,15.5,54,81,357,None,Koeppen-A,Arid,Forest,18.2,8.6,NW,Spring,3040567,36178191.71,6
aus_131,5/10/2024,Australia,Sydney,11.3,84,186.3,105,Hurricane,Koeppen-B,Arid,Grassland,15.5,7,SE,Spring,1209657,36194532.51,5
aus_132,5/11/2024,Australia,Sydney,26.7,68,37.7,283,Flood,Koeppen-C,Arid,Grassland,30.1,17,S,Spring,9812086,16888739.91,5
aus_133,5/12/2024,Australia,Sydney,6.3,97,82.4,328,None,Koeppen-C,Arid,Forest,11.2,18,SE,Spring,6199667,76509131.08,7
aus_134,5/13/2024,Australia,Sydney,42,94,174.7,337,Drought,Koeppen-D,Arid,Tundra,46.7,10.1,NE,Spring,51236,83892643.78,3
aus_135,5/14/2024,Australia,Sydney,16.6,10,137.6,42,None,Koeppen-C,Arid,Grassland,17.1,35.7,SW,Spring,2795497,9839784.36,2
aus_136,5/15/2024,Australia,Sydney,9.4,29,63.2,375,None,Koeppen-C,Arid,Forest,10.9,9.1,N,Spring,1224862,87614422.04,8
aus_137,5/16/2024,Australia,Sydney,40.5,36,167.5,152,None,Koeppen-C,Arid,Grassland,42.3,19.5,S,Spring,8696952,86824550.99,7
aus_138,5/17/2024,Australia,Sydney,44.2,95,46,125,None,Koeppen-D,Arid,Forest,49,7.6,N,Spring,7378506,97651854.2,7
aus_139,5/18/2024,Australia,Sydney,21.2,76,192.7,325,Hurricane,Koeppen-C,Arid,Wetland,25,21.7,NE,Spring,1941870,23558865.63,1
aus_140,5/19/2024,Australia,Sydney,8,56,173.7,414,Heatwave,Koeppen-C,Arid,Desert,10.8,9.4,W,Spring,5755474,92526750.72,2
aus_141,5/20/2024,Australia,Sydney,27,42,125.9,19,None,Koeppen-A,Arid,Desert,29.1,4.3,SW,Spring,1465316,99181694.54,4
aus_142,5/21/2024,Australia,Sydney,-1.3,17,173.5,442,Heatwave,Koeppen-C,Arid,Wetland,-0.4,21.8,W,Spring,2787236,79350799.63,1
aus_143,5/22/2024,Australia,Sydney,43.1,36,161.9,259,None,Koeppen-B,Arid,Wetland,44.9,3.1,S,Spring,5090660,24920510.34,1
aus_144,5/23/2024,Australia,Sydney,-8,87,40.4,67,None,Koeppen-B,Arid,Grassland,-3.6,19.3,W,Spring,1760034,95778741.31,1
aus_145,5/24/2024,Australia,Sydney,11.3,19,105.8,120,None,Koeppen-D,Arid,Wetland,12.2,16.5,SE,Spring,622934,37567676.9,5
aus_146,5/25/2024,Australia,Sydney,19.6,87,79.8,122,None,Koeppen-C,Arid,Tundra,24,20.9,SW,Spring,3339757,58672675.5,9
aus_147,5/26/2024,Australia,Sydney,14.1,83,141.4,459,None,Koeppen-C,Arid,Desert,18.2,3.7,N,Spring,4931500,91571159.82,3
aus_148,5/27/2024,Australia,Sydney,8.1,56,168.1,25,Flood,Koeppen-C,Arid,Wetland,10.9,14.4,N,Spring,1221346,85407764.62,4
aus_149,5/28/2024,Australia,Sydney,30.8,47,109.8,309,None,Koeppen-A,Arid,Desert,33.1,8,W,Spring,6626191,47815189.55,4
aus_150,5/29/2024,Australia,Sydney,9.1,25,111.2,141,None,Koeppen-A,Arid,Grassland,10.3,1.6,E,Spring,2525398,66775963.85,4
aus_151,5/30/2024,Australia,Sydney,-6.8,66,183,154,None,Koeppen-A,Arid,Desert,-3.5,13.5,N,Spring,7596154,76201944.09,3
aus_152,5/31/2024,Australia,Sydney,16.9,35,184.1,173,None,Koeppen-C,Arid,Wetland,18.6,6.2,N,Spring,7652702,88753229,4
aus_153,6/1/2024,Australia,Sydney,12.5,94,125.7,466,None,Koeppen-B,Arid,Wetland,17.2,31.8,N,Summer,534811,7660433.59,3
aus_154,6/2/2024,Australia,Sydney,31.3,76,175.3,224,None,Koeppen-D,Arid,Tundra,35.1,18.5,S,Summer,9038662,61437148.96,10
aus_155,6/3/2024,Australia,Sydney,30.8,15,194.5,396,None,Koeppen-C,Arid,Grassland,31.6,26.8,SE,Summer,9410281,89056469.28,4
aus_156,6/4/2024,Australia,Sydney,11.6,49,85,138,None,Koeppen-B,Arid,Wetland,14.1,0.1,E,Summer,1583594,47955709.47,9
aus_157,6/5/2024,Australia,Sydney,32.3,10,7.4,250,None,Koeppen-C,Arid,Desert,32.8,24.6,NW,Summer,4356431,22551221.06,5
aus_158,6/6/2024,Australia,Sydney,39.3,60,142,87,Heatwave,Koeppen-D,Arid,Desert,42.3,1.1,NW,Summer,5502628,84152307.13,3
aus_159,6/7/2024,Australia,Sydney,-0.9,38,39.6,115,None,Koeppen-D,Arid,Forest,1,8.1,NW,Summer,2162019,89805395.39,4
aus_160,6/8/2024,Australia,Sydney,9.4,90,157.6,211,None,Koeppen-D,Arid,Grassland,13.9,31.9,NW,Summer,6370986,27227019.1,6
aus_161,6/9/2024,Australia,Sydney,9.4,89,117.8,49,None,Koeppen-A,Arid,Tundra,13.9,8.7,S,Summer,5451659,88312882.07,9
aus_162,6/10/2024,Australia,Sydney,-3.1,13,143.9,99,None,Koeppen-A,Arid,Wetland,-2.5,15.7,NE,Summer,5003568,26371194.57,9
aus_163,6/11/2024,Australia,Sydney,15,79,18.5,167,None,Koeppen-C,Arid,Forest,18.9,34.7,E,Summer,3847019,45449760.68,1
aus_164,6/12/2024,Australia,Sydney,-0.5,24,112.7,403,None,Koeppen-B,Arid,Grassland,0.7,18.3,SE,Summer,5244619,94968285.91,2
aus_165,6/13/2024,Australia,Sydney,36.3,19,22.8,69,None,Koeppen-D,Arid,Forest,37.2,2.3,E,Summer,3679892,66309681.62,2
aus_166,6/14/2024,Australia,Sydney,27.1,99,63.7,108,None,Koeppen-C,Arid,Tundra,32.1,34.5,E,Summer,1351972,39551464.92,6
aus_167,6/15/2024,Australia,Sydney,-6.5,96,170.3,49,None,Koeppen-B,Arid,Tundra,-1.7,27,N,Summer,8001630,84959641.47,8
aus_168,6/16/2024,Australia,Sydney,27.5,31,57.4,241,None,Koeppen-D,Arid,Grassland,29.1,26.2,W,Summer,6147239,30462741.34,1
aus_169,6/17/2024,Australia,Sydney,30.6,98,22.7,117,None,Koeppen-C,Arid,Forest,35.5,2.1,SW,Summer,896869,66109786.01,5
aus_170,6/18/2024,Australia,Sydney,36.9,41,162.9,482,None,Koeppen-D,Arid,Desert,38.9,6.9,SE,Summer,957981,76324576.65,5
aus_171,6/19/2024,Australia,Sydney,-8,85,40.2,117,None,Koeppen-C,Arid,Tundra,-3.8,13.5,SE,Summer,4244757,44019389.82,6
aus_172,6/20/2024,Australia,Sydney,2.1,26,34.5,94,None,Koeppen-A,Arid,Tundra,3.4,13.1,E,Summer,8470391,37074199.62,2
aus_173,6/21/2024,Australia,Sydney,36.1,34,197.9,450,Heatwave,Koeppen-D,Arid,Forest,37.8,16.4,W,Summer,9905592,1630648.06,4
aus_174,6/22/2024,Australia,Sydney,28.5,67,13.4,437,None,Koeppen-D,Arid,Wetland,31.9,30.4,N,Summer,3774007,58482319.7,1
